oa_display_name,is_prof,perceived_as_male,host_dept (; delimited if more than one),has_research_group,OpenAlex id,group_url,Notes
Appala Raju Badireddy,1.0,1.0,Civil and Environmental Engineering,1.0,a5037146310,https://arbadireddy.wixsite.com/uvmcee/members,
James P. Bagrow,1.0,1.0,Mathematics & Statistics,1.0,a5062403203,https://bagrow.com/people/,
Spencer Backman,1.0,1.0,Mathematics & Statistics,0.0,a5066800852,,
Andrew Barnaby,1.0,1.0,English,0.0,a5065482485,,
Philip Barutha,1.0,1.0,English,0.0,a5015659727,,
Jason S. Bates,1.0,1.0,,1.0,a5014967076,https://sites.google.com/site/jasonsbates/members?authuser=0,
Kim R. Bauerly,1.0,0.0,Communication sciences and disorders,1.0,a5086274493,https://www.uvm.edu/cnhs/csd/speech-fluency-lab,
Brian Beckage,1.0,1.0,Computer Science,1.0,a5064679606,https://brianbeckage.github.io/lab.html,
Caroline Beer,1.0,0.0,Political Science,0.0,a5058128585,,
Emily H. Belarmino,1.0,0.0,Nutrition and Food Sciences; ,0.0,a5016548616,,
Christopher L. Berger,1.0,1.0,Molecular Physiology and Biophysics,0.0,a5075679004,,
Emily Bernard,1.0,0.0,English,0.0,a5031469576,,
Paul R. Bierman,1.0,1.0,Geology,1.0,a5065669012,https://www.uvm.edu/cosmolab/students.html,
Eric J. B. von Wettberg,1.0,1.0,Plant and Soil Science,1.0,a5034453011,https://ebishopv.wixsite.com/cropdomesticationlab/people,
Deborah E. Blom,1.0,0.0,Anthropology,0.0,a5010615491,,
Nathalie Mathieu-Bolh,1.0,0.0,Economics,0.0,a5082336655,,
Arne Bomblies,1.0,1.0,Civil and Environmental Engineers,0.0,a5085014912,,
Carolyn M. Bonifield,1.0,0.0,Business,0.0,a5029861842,,
Elizabeth A. Bonney,1.0,0.0,"Obstetrics, Gynecology and Reproductive Sciences",1.0,a5023419188,https://www.med.uvm.edu/obgyn/research/lab_bonney,
Pablo S. Bose,1.0,1.0,Geography and Geosciences,0.0,a5086838547,,
T.L. Bradshaw,1.0,1.0,Plant and Soil Science,0.0,a5063690586,,
Vicki L. Brennan,1.0,0.0,African Studies Program,0.0,a5049222482,,
Alison K. Brody,1.0,0.0,Biology,1.0,a5074708105,http://www.akbrody.com/lab%20members.html,
Jeffrey S. Buzas,1.0,1.0,Mathematics & Statistics,0.0,a5060478670,,
Sara Helms Cahan,1.0,0.0,Biology,1.0,a5029896488,http://shelmscahan.github.io/Index2.html,
Rebecca M. Callahan,1.0,0.0,Educational Leadership and Policy Studies,0.0,a5014853497,,
Patrick J. Callery,1.0,1.0,Business,0.0,a5052810664,,
Michael S. Cannizzaro,1.0,1.0,Communication Sciences and Disorders,0.0,a5002845482,,
Matthew Carlson,1.0,1.0,Political Science,0.0,a5074460980,,
Frances E. Carr,1.0,0.0,Pharmacology,1.0,a5087721092,https://www.med.uvm.edu/pharmacology/carrlabpersonnel,
Jessica DeMink-Carthew,1.0,0.0,College of Education and Social Services,0.0,a5010948910,,
Eliana Castro,1.0,0.0,College of Education and Social Services,0.0,a5008683066,,
William L. Cats-Baril,1.0,1.0,Business,0.0,a5077022082,,
Samuel Chevalier,1.0,1.0,Electrical and Biomedical Engineering,1.0,a5005388341,,
Kelly Clark/Keefe,1.0,0.0,College of Education and Social Services,0.0,a5073802469,,
Dennis P. Clougherty,1.0,1.0,Physics,0.0,a5026988863,,
Emily L. Coderre,1.0,0.0,Communication Sciences and Disorders,0.0,a5066307333,,
Bernard F. Cole,1.0,1.0,College of Engineering and Mathematical Sciences,0.0,a5033544452,,
Michele E. Commercio,1.0,0.0,Political Science,0.0,a5067076795,,
David S. Conner,1.0,1.0,Community Development and Applied Economics,0.0,a5019140171,,
Nicole E. Conroy,1.0,0.0,Human Development and Family Science,0.0,a5017116907,,
Meghan Cope,1.0,0.0,Geography and Geosciences,0.0,a5056414452,,
John G. Crock,1.0,1.0,Anthropology,0.0,a5046250286,,
Abigail Crocker,1.0,0.0,Mathematics and Statistics,0.0,a5063968442,,
Terence Cuneo,1.0,1.0,Philosophy,0.0,a5005500349,,
Brian Cunniff,1.0,1.0,Pathology and Laboratory Medicine,1.0,a5085980410,http://www.med.uvm.edu/cunnifflab/labmembers,
Alan E. Wilson,1.0,,,1.0,a5063349034,https://www.wilsonlab.com/,
A. J. Weinstein,1.0,,,1.0,a5014235664,https://labcit.ligo.caltech.edu/groups/astrophysics-group/people.shtml,
Paul Laris,1.0,,,1.0,a5034350333,https://www.researchgate.net/lab/Paul-Laris-Lab,
Corey G. Dunn,1.0,,,1.0,a5040153089,https://dunnfishresearch.weebly.com/people.html,
Rebecca S. Barak,1.0,,,1.0,a5014827802,https://www.beckybarak.com/people,
Ana Carolina Carnaval,1.0,,,1.0,a5089366029,https://www.carnavallab.org/ana,
James R. Green,1.0,,,1.0,a5078223816,http://www.sce.carleton.ca/faculty/green/green.php?page=students,
Matthew P. Shores,1.0,,,1.0,a5087585600,https://shoreslab.colostate.edu/group.html,
Deanna H. McCay,1.0,,,1.0,a5091754582,,
Anthony B. Wilson,1.0,,,1.0,a5052545695,https://evolution.blog.brooklyn.edu/people/research-students/,
David A. Braun,1.0,,,1.0,a5069300441,https://www.thebraunlab.org/people,
Michael P. Cummings,1.0,,,1.0,a5067884449,https://cummings-lab.org/,
